"distrito","species","reino","nombre_cientifico","clase","orden","familia","genero","n_registros","fuentes","plataformas","primer_anio","ultimo_anio","n_distritos_total","es_exclusiva","iucn_match_name","iucn_categoria_raw","iucn_id","iucn_categoria","es_amenazada_iucn"
"Limatambo","Kleinothraupis parodii","Fauna","Kleinothraupis parodii (Weske & Terborgh, 1974)","Aves","Passeriformes","Thraupidae","Kleinothraupis",1,"GBIF","eBird",2009,2009,2,FALSE,"Kleinothraupis parodii","Near Threatened","22722219","Casi Amenazada (NT)",FALSE
"Limatambo","Laennecia artemisiifolia","Flora","Conyza artemisiifolia Meyen & Walp.","Magnoliopsida","Asterales","Asteraceae","Laennecia",1,"GBIF","Otros conjuntos mediados por GBIF",NA,NA,1,TRUE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Lantana angustibracteata","Flora","Lantana angustibracteata Hayek","Magnoliopsida","Lamiales","Verbenaceae","Lantana",1,"GBIF","Otros conjuntos mediados por GBIF",1984,1984,1,TRUE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Lantana rugulosa","Flora","Lantana rugulosa Kunth","Magnoliopsida","Lamiales","Verbenaceae","Lantana",1,"GBIF","Otros conjuntos mediados por GBIF",1984,1984,1,TRUE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Lantana scabiosiflora","Flora","Lantana scabiosiflora Kunth","Magnoliopsida","Lamiales","Verbenaceae","Lantana",1,"GBIF","Otros conjuntos mediados por GBIF",1984,1984,2,FALSE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Leonotis nepetifolia","Flora","Leonotis nepetifolia","Magnoliopsida","Lamiales","Lamiaceae","Leonotis",1,"iNaturalist","iNaturalist",2022,2022,2,FALSE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Leptasthenura andicola","Fauna","Leptasthenura andicola P.L.Sclater, 1870","Aves","Passeriformes","Furnariidae","Leptasthenura",1,"GBIF","eBird",2018,2018,1,TRUE,"Leptasthenura andicola","Least Concern","22702192","Preocupación Menor (LC)",FALSE
"Limatambo","Leptophobia aripa","Fauna","Leptophobia aripa","Insecta","Lepidoptera","Pieridae","Leptophobia",1,"iNaturalist","iNaturalist",2021,2021,1,TRUE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Leptotes callanga","Fauna","Leptotes callanga","Insecta","Lepidoptera","Lycaenidae","Leptotes",1,"iNaturalist","iNaturalist",2021,2021,2,FALSE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Leucopternis albicollis","Fauna","Pseudastur albicollis (Latham, 1790)","Aves","Accipitriformes","Accipitridae","Leucopternis",1,"GBIF","eBird",2021,2021,3,FALSE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Lieinix nemesis","Fauna","Lieinix nemesis","Insecta","Lepidoptera","Pieridae","Lieinix",1,"iNaturalist","iNaturalist",2021,2021,2,FALSE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Lycaena cyna","Fauna","Zizula cyna","Insecta","Lepidoptera","Lycaenidae","Lycaena",1,"iNaturalist","iNaturalist",2021,2021,1,TRUE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Lycalopex culpaeus","Fauna","Lycalopex culpaeus","Mammalia","Carnivora","Canidae","Lycalopex",1,"iNaturalist","iNaturalist",2023,2023,2,FALSE,"Lycalopex culpaeus","Least Concern","6929","Preocupación Menor (LC)",FALSE
"Limatambo","Lycianthes lycioides","Flora","Lycianthes lycioides (L.) Hassl.","Magnoliopsida","Solanales","Solanaceae","Lycianthes",1,"GBIF","Otros conjuntos mediados por GBIF",1984,1984,2,FALSE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Manduca afflicta","Fauna","Manduca paphus","Insecta","Lepidoptera","Sphingidae","Manduca",1,"iNaturalist","iNaturalist",2022,2022,1,TRUE,"---","---",NA,"No Evaluada (NE)",FALSE
"Limatambo","Mastigodryas boddaerti","Fauna","Mastigodryas boddaerti","Squamata",NA,"Colubridae","Mastigodryas",1,"iNaturalist","iNaturalist",2017,2017,1,TRUE,"Mastigodryas boddaerti","Least Concern","203299","Preocupación Menor (LC)",FALSE
"Limatambo","Mecocerculus poecilocercus","Fauna","Mecocerculus poecilocercus (P.L.Sclater & Salvin, 1873)","Aves","Passeriformes","Tyrannidae","Mecocerculus",1,"GBIF","eBird",2009,2009,1,TRUE,"Mecocerculus poecilocercus","Least Concern","22699316","Preocupación Menor (LC)",FALSE
"Limatambo","Medicago sativa","Flora","Medicago sativa","Magnoliopsida","Fabales","Fabaceae","Medicago",1,"iNaturalist","iNaturalist",2025,2025,1,TRUE,"Medicago sativa","Least Concern","174725","Preocupación Menor (LC)",FALSE
"Limatambo","Melanerpes cruentatus","Fauna","Melanerpes cruentatus (Boddaert, 1783)","Aves","Piciformes","Picidae","Melanerpes",1,"GBIF","eBird",2024,2024,1,TRUE,"Melanerpes cruentatus","Least Concern","22680824","Preocupación Menor (LC)",FALSE
"Limatambo","Melipotis trujillensis","Fauna","Melipotis trujillensis","Insecta","Lepidoptera","Erebidae","Melipotis",1,"iNaturalist","iNaturalist",2022,2022,1,TRUE,"---","---",NA,"No Evaluada (NE)",FALSE
