scntfcN,taxnRnk,kingdom,order,family,genus,species
"Ara severus (Linnaeus, 1758)",SPECIES,Animalia,Psittaciformes,Psittacidae,Ara,Ara severus
"Oxyura ferruginea (Eyton, 1838)",SPECIES,Animalia,Anseriformes,Anatidae,Oxyura,Oxyura ferruginea
"Circus cinereus Vieillot, 1816",SPECIES,Animalia,Accipitriformes,Accipitridae,Circus,Circus cinereus
"Elliotomyia viridicauda (von Berlepsch, 1883)",SPECIES,Animalia,Apodiformes,Trochilidae,Elliotomyia,Elliotomyia viridicauda
"Phalaropus tricolor (Vieillot, 1819)",SPECIES,Animalia,Charadriiformes,Scolopacidae,Phalaropus,Phalaropus tricolor
"Podiceps occipitalis Garnot, 1826",SPECIES,Animalia,Podicipediformes,Podicipedidae,Podiceps,Podiceps occipitalis
"Calidris melanotos (Vieillot, 1819)",SPECIES,Animalia,Charadriiformes,Scolopacidae,Calidris,Calidris melanotos
"Upucerthia validirostris (Burmeister, 1861)",SPECIES,Animalia,Passeriformes,Furnariidae,Upucerthia,Upucerthia validirostris
"Idiopsar speculifer (d'Orbigny & Lafresnaye, 1837)",SPECIES,Animalia,Passeriformes,Thraupidae,Idiopsar,Idiopsar speculifer
"Pygochelidon cyanoleuca (Vieillot, 1817)",SPECIES,Animalia,Passeriformes,Hirundinidae,Notiochelidon,Notiochelidon cyanoleuca
"Hirundo rustica Linnaeus, 1758",SPECIES,Animalia,Passeriformes,Hirundinidae,Hirundo,Hirundo rustica
"Colibri cyanotus (Bourcier, 1843)",SPECIES,Animalia,Apodiformes,Trochilidae,Colibri,Colibri cyanotus
"Pheucticus chrysogaster (Lesson, 1832)",SPECIES,Animalia,Passeriformes,Cardinalidae,Pheucticus,Pheucticus chrysogaster
"Uromyias agraphia (Chapman, 1919)",SPECIES,Animalia,Passeriformes,Tyrannidae,Anairetes,Anairetes agraphia
"Sayornis nigricans (Swainson, 1827)",SPECIES,Animalia,Passeriformes,Tyrannidae,Sayornis,Sayornis nigricans
"Pompilus dichromorphus (Rohwer, 1913)",SPECIES,Animalia,Hymenoptera,Pompilidae,Arachnospila,Arachnospila dichromorphus
"Aporus cuzco Evans, 1973",SPECIES,Animalia,Hymenoptera,Pompilidae,Aporus,Aporus cuzco
"Aridestus porteri Evans, 1966",SPECIES,Animalia,Hymenoptera,Pompilidae,Aridestus,Aridestus porteri
"Polistes xanthogaster willei Bequard, 1940",SUBSPECIES,Animalia,Hymenoptera,Eumenidae,Polistes,Polistes xanthogaster
"Epiphile chrysites Latreille, 1823",SPECIES,Animalia,Lepidoptera,Nymphalidae,Epiphile,Epiphile chrysites
"Bufo spinulosus spinulosus Wiegmann, 1834",SUBSPECIES,Animalia,Anura,Bufonidae,Rhinella,Rhinella spinulosa
"Hesperomys frida Thomas, 1917",SPECIES,Animalia,Rodentia,Cricetidae,Calomys,Calomys sorellus
"Auliscomys pictus (Thomas, 1884)",SPECIES,Animalia,Rodentia,Cricetidae,Auliscomys,Auliscomys pictus
"Akodon boliviensis Meyen, 1833",SPECIES,Animalia,Rodentia,Cricetidae,Akodon,Akodon boliviensis
"Phyllotis osilae J.A.Allen, 1901",SPECIES,Animalia,Rodentia,Cricetidae,Phyllotis,Phyllotis osilae
"Rhinella spinulosa (Wiegmann, 1834)",SPECIES,Animalia,Anura,Bufonidae,Rhinella,Rhinella spinulosa
"Tachymenis peruviana Wiegmann, 1834",SPECIES,Animalia,NA,Colubridae,Tachymenis,Tachymenis peruviana
"Gastrotheca marsupiata (Duméril & Bibron, 1841)",SPECIES,Animalia,Anura,Hemiphractidae,Gastrotheca,Gastrotheca marsupiata
"Pedaliodes empusa (Felder, 1867)",SPECIES,Animalia,Lepidoptera,Nymphalidae,Pedaliodes,Pedaliodes empusa
"Pedaliodes prosa Staudinger, 1894",SPECIES,Animalia,Lepidoptera,Nymphalidae,Pedaliodes,Pedaliodes prosa
"Adelpha aricia Hewitson, 1847",SPECIES,Animalia,Lepidoptera,Nymphalidae,Limenitis,Limenitis aricia
"Lasiophila piscina Thieme, 1902",SPECIES,Animalia,Lepidoptera,Nymphalidae,Lasiophila,Lasiophila piscina
"Adelpha saundersii Hewitson, 1867",SPECIES,Animalia,Lepidoptera,Nymphalidae,Limenitis,Limenitis saundersii
